,stock_symbol,cls_num
0,AAPL,7
1,ADBE,7
2,ADI,7
3,ADP,5
4,ADSK,7
5,AEP,5
6,ALGN,7
7,AMAT,7
8,AMD,7
9,AMGN,3
10,AMZN,7
11,ANSS,7
12,ASML,7
13,ATVI,7
14,AVGO,7
15,BIDU,6
16,BIIB,4
17,BKNG,5
18,CDNS,7
19,CDW,5
20,CERN,5
21,CHKP,8
22,CHTR,5
23,CMCSA,5
24,COST,5
25,CPRT,7
26,CRWD,7
27,CSCO,5
28,CSX,5
29,CTAS,5
30,CTSH,5
31,DLTR,5
32,DOCU,7
33,DXCM,7
34,EA,7
35,EBAY,9
36,EXC,5
37,FAST,5
38,FB,7
39,FISV,5
40,FOX,1
41,FOXA,1
42,GILD,3
43,GOOG,7
44,GOOGL,7
45,HON,5
46,IDXX,7
47,ILMN,7
48,INCY,3
49,INTC,7
50,INTU,7
51,ISRG,7
52,JD,6
53,KDP,5
54,KHC,5
55,KLAC,7
56,LRCX,7
57,LULU,7
58,MAR,5
59,MCHP,7
60,MDLZ,5
61,MELI,7
62,MNST,5
63,MRNA,10
64,MRVL,7
65,MSFT,7
66,MTCH,7
67,MU,7
68,NFLX,7
69,NTES,6
70,NVDA,7
71,NXPI,7
72,OKTA,7
73,ORLY,5
74,PAYX,5
75,PCAR,5
76,PDD,6
77,PEP,5
78,PTON,7
79,PYPL,7
80,QCOM,7
81,REGN,3
82,ROST,5
83,SBUX,5
84,SGEN,7
85,SIRI,1
86,SNPS,7
87,SPLK,7
88,SWKS,7
89,TCOM,6
90,TEAM,7
91,TMUS,5
92,TSLA,7
93,TXN,7
94,VRSK,5
95,VRSN,7
96,VRTX,3
97,WBA,2
98,WDAY,7
99,XEL,5
100,XLNX,7
101,ZM,7
